City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Raposa,BR,2022-07-21 16:33:40,-6.5167,-44.1833,92.57,25,8,6.64
68,Noshiro,JP,2022-07-21 16:33:41,40.2039,140.0242,69.12,91,91,4.16
69,Nicoya,CR,2022-07-21 16:33:42,10.1483,-85.452,82.13,74,100,2.93
70,Yellowknife,CA,2022-07-21 16:30:42,62.456,-114.3525,63.12,55,20,5.75
71,Hithadhoo,MV,2022-07-21 16:29:12,-0.6,73.0833,81.54,71,100,5.08
72,Giyani,ZA,2022-07-21 16:33:44,-23.3025,30.7187,67.89,59,71,2.98
73,Barrow,US,2022-07-21 16:33:44,71.2906,-156.7887,42.82,81,0,23.02
74,Bakel,SN,2022-07-21 16:33:45,14.905,-12.4568,79.36,81,100,6.82
75,Carnarvon,AU,2022-07-21 16:33:45,-24.8667,113.6333,65.59,68,68,16.73
76,Bluff,NZ,2022-07-21 16:33:46,-46.6,168.3333,39.79,82,97,9.24
77,Puerto Escondido,MX,2022-07-21 16:33:47,15.85,-97.0667,90.43,62,40,6.91
78,Banff,CA,2022-07-21 16:33:47,51.1762,-115.5698,72.77,39,36,6.91
79,Marawi,PH,2022-07-21 16:33:48,7.9986,124.2928,68.79,94,88,2.57
80,Mar Del Plata,AR,2022-07-21 16:33:48,-38.0023,-57.5575,57.09,62,0,14.0
81,Morondava,MG,2022-07-21 16:33:49,-20.2833,44.2833,73.2,73,8,12.12
82,Ngama,TD,2022-07-21 16:33:50,11.7833,17.1667,87.82,55,89,4.59
83,Luderitz,NA,2022-07-21 16:33:50,-26.6481,15.1594,63.25,57,0,9.6
84,Kapaa,US,2022-07-21 16:33:51,22.0752,-159.319,80.19,83,100,21.85
85,Chuy,UY,2022-07-21 16:33:51,-33.6971,-53.4616,62.24,84,100,10.22
86,Neuquen,AR,2022-07-21 16:29:25,-38.9516,-68.0591,49.89,46,0,3.44
87,San Andres,CO,2022-07-21 16:29:16,12.5847,-81.7006,86.02,74,40,12.66
88,Sept-Iles,CA,2022-07-21 16:30:12,50.2001,-66.3821,72.12,55,75,10.36
89,Ancud,CL,2022-07-21 16:30:35,-41.8697,-73.8203,41.23,82,100,13.13
90,Baruun-Urt,MN,2022-07-21 16:34:24,46.6806,113.2792,71.8,45,55,11.92
91,Adrar,MR,2022-07-21 16:34:25,20.5022,-10.0711,101.62,23,23,9.51
92,Bonthe,SL,2022-07-21 16:34:26,7.5264,-12.505,77.72,79,100,12.01
93,Iqaluit,CA,2022-07-21 16:29:45,63.7506,-68.5145,40.69,100,100,5.01
94,Port Alfred,ZA,2022-07-21 16:34:27,-33.5906,26.891,57.18,84,0,6.02
95,Pontes E Lacerda,BR,2022-07-21 16:34:28,-15.2261,-59.3353,95.41,17,21,7.96
96,Padang,ID,2022-07-21 16:34:28,-0.9492,100.3543,77.61,88,99,3.36
97,Coquimbo,CL,2022-07-21 16:34:02,-29.9533,-71.3436,55.13,82,75,8.05
98,Kharan,PK,2022-07-21 16:34:29,28.5833,65.4167,98.44,29,73,8.88
99,Cabo San Lucas,MX,2022-07-21 16:31:31,22.8909,-109.9124,97.61,45,0,11.5
100,Namatanai,PG,2022-07-21 16:34:30,-3.6667,152.4333,78.73,81,37,5.99
101,Saryagash,KZ,2022-07-21 16:34:31,41.4511,69.1701,93.16,9,0,11.61
102,Labuhan,ID,2022-07-21 16:34:31,-6.8844,112.2051,75.83,82,80,8.66
103,Kargasok,RU,2022-07-21 16:34:32,59.0556,80.8572,57.38,94,97,6.06
104,Port Elizabeth,ZA,2022-07-21 16:30:39,-33.918,25.5701,57.49,83,0,3.44
105,Calvinia,ZA,2022-07-21 16:34:33,-31.4707,19.776,52.66,30,0,4.03
106,San Blas,MX,2022-07-21 16:34:34,21.5167,-105.2667,91.29,63,33,4.65
107,Rocha,UY,2022-07-21 16:33:27,-34.4833,-54.3333,59.0,72,79,9.44
108,San Jose,US,2022-07-21 16:29:51,37.3394,-121.895,72.9,66,100,4.61
109,Rio Gallegos,AR,2022-07-21 16:31:32,-51.6226,-69.2181,33.85,75,0,31.07
110,Qostanay,KZ,2022-07-21 16:34:36,53.1667,63.5833,68.29,42,0,8.95
111,Calbuco,CL,2022-07-21 16:34:36,-41.768,-73.1273,42.01,84,100,13.15
112,Ottawa,CA,2022-07-21 16:33:35,45.4112,-75.6981,82.67,71,75,14.97
113,Merauke,ID,2022-07-21 16:32:55,-8.4667,140.3333,75.09,89,21,8.93
114,Chimbote,PE,2022-07-21 16:34:38,-9.0853,-78.5783,66.31,72,95,9.95
115,Cravo Norte,CO,2022-07-21 16:34:38,6.3017,-70.2041,74.55,91,98,7.96
116,Pafos,CY,2022-07-21 16:30:21,34.7667,32.4167,86.23,74,0,14.97
117,Airai,TL,2022-07-21 16:34:40,-8.9266,125.4092,55.44,90,88,2.8
118,Baculin,PH,2022-07-21 16:34:40,7.4525,126.5842,77.04,88,93,3.65
119,Ostrovnoy,RU,2022-07-21 16:34:41,68.0531,39.5131,55.18,82,57,5.5
120,San Martin,AR,2022-07-21 16:34:42,-33.081,-68.4681,61.34,34,0,10.67
121,Nemuro,JP,2022-07-21 16:34:42,43.3236,145.575,56.68,90,0,8.37
122,Diu,IN,2022-07-21 16:34:43,20.7141,70.9822,81.54,80,100,13.96
123,Sao Miguel,BR,2022-07-21 16:34:44,-5.4667,-35.3667,83.17,68,97,14.79
124,Horki,BY,2022-07-21 16:34:44,54.2861,30.9842,64.98,86,5,9.35
125,Tasiilaq,GL,2022-07-21 16:34:45,65.6145,-37.6368,41.16,73,91,2.77
126,Mahebourg,MU,2022-07-21 16:34:45,-20.4081,57.7,69.26,88,40,11.5
127,Yangambi,CD,2022-07-21 16:34:46,0.8102,24.4336,75.29,84,91,3.13
128,Fairbanks,US,2022-07-21 16:30:20,64.8378,-147.7164,56.82,73,75,3.44
129,Ponta Delgada,PT,2022-07-21 16:33:48,37.7333,-25.6667,72.32,78,75,5.75
130,Cape Town,ZA,2022-07-21 16:34:48,-33.9258,18.4232,59.27,76,0,6.91
131,Lata,PT,2022-07-21 16:34:48,40.1629,-8.3327,86.49,49,1,8.7
