City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
106,Abnub,EG,82.54,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
107,Guerrero Negro,MX,73.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
108,Grand Island,US,97.09,scattered clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
111,Santiago De Cao,PE,60.93,mist,-7.9589,-79.2392,Casa de la tía
114,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
115,Panlaitan,PH,83.61,overcast clouds,12.1191,119.8486,SOUTH BEACH
116,Numan,NG,75.69,overcast clouds,9.4667,12.0333,Zangun Motel
119,East London,ZA,65.05,scattered clouds,-33.0153,27.9116,Tu Casa
120,Nola,IT,79.63,clear sky,40.922,14.5329,Palazzo Giordano Bruno
123,Timberlake,US,85.96,clear sky,37.3207,-79.2575,Timberlake Motel
126,Bethel,US,83.17,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
127,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
129,Vao,NC,74.5,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
132,Sabang,ID,80.6,light rain,5.8933,95.3214,Hotel Citra
134,Faanui,PF,78.4,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Laguna,US,102.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
136,Touros,BR,75.45,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
138,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Karratha,AU,69.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
143,Brewster,US,81.68,clear sky,41.3973,-73.6171,Heidi's Inn
144,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
145,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Scoop Guest House
146,Kirakira,SB,84.56,few clouds,-10.4544,161.9205,SanBiz Lodge
147,Gbarnga,LR,68.63,overcast clouds,6.9956,-9.4722,Passion Hotel 2
148,Broome,US,80.02,light rain,42.2506,-75.833,Chenango Valley State Park
154,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
156,Sao Filipe,CV,75.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
159,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
